From,Iowa,Oregon,Northern Virginia,South Carolina,Belgium,London,Frankfurt,Singapore,Taiwan,Tokyo,Sydney,Sao Paulo,Mumbai,Montreal,Netherlands,Los Angeles,Salt Lake City,Las Vegas,Zurich,Finland,Jakarta,Hong Kong,Osaka,Seoul
Iowa,0,35.47,23.51,33.44,111.174,100.312,113.751,191.204,153.15,119.874,169.593,138.747,220.09,28.695,115.265,33.034,21.851,35.582,114.641,147.519,198.359,165.108,132.706,152.282
Oregon,35.22,0,60.064,65.02,145.355,130.272,139.04,169.093,118.762,90.415,162.251,169.928,216.617,60.233,145.7,24.445,32.174,29.246,149.22,170.265,176.63,131.027,95.796,117.744
Northern Virginia,23.48,55.198,0,11.792,83.878,77.897,87.091,235.716,182.442,150.415,202.117,127.873,278.05,14.194,84.832,64.334,53.511,61.037,96.288,138.141,230.622,193.51,165.762,183.241
South Carolina,33.367,79.051,11.409,0,92.571,87.474,98.423,229.421,185.053,154.37,198.956,115.998,291.372,25.384,95.846,59.264,53.948,58.063,105.11,125.041,230.596,196.616,162.042,181.219
Belgium,103.08,134.589,103.207,92.302,0,6.966,7.417,297.308,253.609,227.387,271.853,207.134,330.89,81.77,7.098,132.27,123.292,125.005,16.461,32.629,298.781,260.627,232.859,252.022
London,99.858,133.604,77.951,87.819,6.843,0,13.851,278.571,244.762,214.553,264.516,203.455,331.002,76.623,10.566,126.475,116.019,121.595,19.911,41.539,301.226,257.92,232.777,243.227
Frankfurt,107.887,136.857,87.016,97.989,7.422,13.926,0,297.898,258.008,230.78,274.776,213.951,371.451,88.757,7.471,137.763,126.523,131.238,10.182,32.042,304.395,269.471,240.411,257.146
Singapore,191.734,163.848,237.398,234.414,329.536,281.833,297.747,0,48.392,67.547,91.943,320.662,54.009,221.271,305.112,160.955,173.661,165.492,297.043,326.907,13.814,35.7,74.601,71.875
Taiwan,162.528,118.861,173.328,183.995,256.764,248.057,260.724,48.393,0,35.733,141.709,288.299,115.362,184.35,260.94,126.64,139.635,131.626,267.292,285.26,60.713,12.984,38.874,49.707
Tokyo,125.974,90.658,153.701,154.487,221.472,219.225,227.902,67.53,35.79,0,114.071,258.291,98.01,151.244,227.362,98.53,110.942,98.534,233.309,254.495,81.133,48.587,8.766,32.618
Sydney,169.268,180.051,200.934,197.446,267.438,264.873,273.885,91.727,140.55,113.735,0,299.587,152.671,198.697,270.019,136.96,150.196,143.134,281.541,304.353,103.709,128.03,121.266,141.943
Sao Paulo,139.177,170.431,128.548,116.13,207.988,203.505,213.846,323.049,288.977,258.302,301.16,0,371.092,142.011,210.724,163.417,158.481,163.044,222.705,240.689,333.53,301.584,267.58,288.686
Mumbai,212.998,198.137,261.891,271.913,351.778,325.99,360.871,51.667,53.712,62.011,162.982,391.09,0,277.441,353.731,180.244,160.819,201.887,310.014,350.887,33.89,53.65,92.198,85.884
Montreal,28.599,63,14.313,25.248,82.389,76.785,87.745,221.2,181.277,151.092,198.736,141.909,245.204,0,89.794,59.667,50.204,54.798,98.682,115.515,226.427,199.981,165.885,180.85
Netherlands,113.643,141.19,109.75,98.807,7.209,10.66,7.568,306.001,262.37,224.494,271.445,210.905,332.895,94.773,0,145.854,128.229,128.887,14.024,30.795,311.964,265.485,234.152,254.067
Los Angeles,219.366,25.591,63.026,61.137,133.201,127.846,137.932,160.953,126.798,98.577,136.965,163.074,180.61,59.627,145.961,0,13.448,5.668,144.524,164.14,175.676,142.339,106.179,125.785
Salt Lake City,22.021,32.373,53.415,54.607,123.526,116.677,126.488,173.654,139.364,111.04,150.192,158.111,167.879,50.209,128.234,13.394,0,20.552,134.973,153.236,188.634,154.767,118.954,138.714
Las Vegas,35.748,31.656,61.308,58.465,128.468,121.527,131.693,167.945,132.697,105.16,143.083,162.002,151.471,54.831,128.422,5.721,20.369,0,141.014,158.575,179.717,148.139,110.764,131.325
Zurich,114.756,146.256,93.812,104.846,16.252,19.941,7.832,297.048,266.426,236.08,281.981,222.802,256.991,98.687,14.071,144.029,134.967,141.012,0,35.817,307.953,281.548,248.86,263.777
Finland,140.618,168.393,147.058,123.134,34.976,41.025,32.064,333.799,283.691,257.257,301.403,240.298,360.894,115.316,30.64,164.531,153.335,158.515,35.649,0,331.508,300.252,265.007,278.257
Jakarta,195.482,162.117,226.681,231.794,298.722,297.902,306.64,14.144,63.632,81.405,103.8,336.983,30.137,228.679,307.497,175.554,187.681,181.558,313.078,330.68,0,49.473,88.176,86.746
Hong Kong,165.406,130.724,196.527,196.662,263.681,263.467,269.863,35.795,13.187,49.582,127.994,300.443,71.992,193.149,266.791,138.948,151.654,144.802,278.503,296.809,49.165,0,51.542,37.182
Osaka,132.189,100.794,160.747,161.539,232.085,224.027,240.748,69.491,35.579,9.03,130.131,265.165,62.223,155.114,236.006,105.891,118.82,112.58,243.771,267.642,88.115,51.229,0,32.25
Seoul,155.152,117.738,183.878,183.919,253.986,243.885,259.207,71.76,49.246,32.045,140.997,285.102,69.021,178.346,248.191,125.979,138.489,131.201,263.514,282.356,86.757,37.327,32.319,0